customer_class,fuel_type,projection_scenario,full name,api key,units,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Growth (2024-2050)
Industrial,Metallurgical Coal,Low Oil and Gas Supply,Energy Prices: Industrial: Metallurgical Coal: Low Oil and Gas Supply,AEO.2025.LOWOGS.PRCE_REAL_IDAL_NA_MTC_NA_WNC_Y13DLRPMMBTU.A,2024 $/MMBtu,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,- -
Industrial,Metallurgical Coal,High Zero-Carbon Technology Cost,Energy Prices: Industrial: Metallurgical Coal: High Zero-Carbon Technology Cost,AEO.2025.HIGHZTC.PRCE_REAL_IDAL_NA_MTC_NA_WNC_Y13DLRPMMBTU.A,2024 $/MMBtu,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,- -
Industrial,Metallurgical Coal,Low Zero-Carbon Technology Cost,Energy Prices: Industrial: Metallurgical Coal: Low Zero-Carbon Technology Cost,AEO.2025.LOWZTC.PRCE_REAL_IDAL_NA_MTC_NA_WNC_Y13DLRPMMBTU.A,2024 $/MMBtu,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,- -
Industrial,Metallurgical Coal,Alternative Electricity,Energy Prices: Industrial: Metallurgical Coal: Alternative Electricity,AEO.2025.NOCAA111.PRCE_REAL_IDAL_NA_MTC_NA_WNC_Y13DLRPMMBTU.A,2024 $/MMBtu,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,- -
Industrial,Metallurgical Coal,Alternative Transportation,Energy Prices: Industrial: Metallurgical Coal: Alternative Transportation,AEO.2025.ALTTRNP.PRCE_REAL_IDAL_NA_MTC_NA_WNC_Y13DLRPMMBTU.A,2024 $/MMBtu,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,- -
Industrial,Metallurgical Coal,AEO2023 Reference case,Energy Prices: Industrial: Metallurgical Coal: AEO2023 Reference case,AEO.2025.AEO2023REF.PRCE_REAL_IDAL_NA_MTC_NA_WNC_Y13DLRPMMBTU.A,2024 $/MMBtu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,- -
Industrial,Electricity,Reference case,Energy Prices: Industrial: Electricity: Reference case,AEO.2025.REF2025.PRCE_REAL_IDAL_NA_ELC_NA_WNC_Y13DLRPMMBTU.A,2024 $/MMBtu,,23.813116,23.548668,22.385313,22.029079,22.008801,22.192471,22.71394,23.296814,23.874269,24.214245,23.945286,23.426222,23.2076,23.03651,22.879848,23.014637,22.979013,23.218616,23.253593,23.218424,23.096596,23.596094,23.787802,23.718872,23.616241,23.549009,23.466259,-0.10%
Industrial,Electricity,High Economic Growth,Energy Prices: Industrial: Electricity: High Economic Growth,AEO.2025.HM2025.PRCE_REAL_IDAL_NA_ELC_NA_WNC_Y13DLRPMMBTU.A,2024 $/MMBtu,,23.799793,23.434122,22.371086,22.019608,22.02091,22.100941,22.474703,22.625584,23.293787,23.61853,23.553844,23.121132,22.813757,22.637821,22.524834,22.765678,22.871752,23.157803,23.24474,23.682297,23.69488,24.259613,24.752825,24.81941,24.69734,24.51717,24.300699,0.10%
Industrial,Electricity,Low Economic Growth,Energy Prices: Industrial: Electricity: Low Economic Growth,AEO.2025.LM2025.PRCE_REAL_IDAL_NA_ELC_NA_WNC_Y13DLRPMMBTU.A,2024 $/MMBtu,,23.839251,23.701477,22.393858,22.010235,22.06979,22.198893,22.467512,23.063276,23.633121,23.930466,23.862392,23.327793,23.013723,22.731773,22.450808,22.643423,22.573601,22.747248,22.945311,23.011148,22.962221,23.469376,23.507597,23.237242,23.048838,22.926205,22.810326,-0.20%
Industrial,Electricity,High Oil Price,Energy Prices: Industrial: Electricity: High Oil Price,AEO.2025.HIGHPRICE.PRCE_REAL_IDAL_NA_ELC_NA_WNC_Y13DLRPMMBTU.A,2024 $/MMBtu,,23.810955,23.585646,22.414249,22.041428,22.042103,21.926775,22.325249,22.848818,23.57675,23.788145,23.362978,22.88941,22.662863,22.447239,22.269226,22.318804,22.284275,22.48917,22.406549,22.386835,22.531328,22.800949,22.965443,22.984491,22.95101,22.941072,22.923637,-0.10%
Industrial,Electricity,Low Oil Price,Energy Prices: Industrial: Electricity: Low Oil Price,AEO.2025.LOWPRICE.PRCE_REAL_IDAL_NA_ELC_NA_WNC_Y13DLRPMMBTU.A,2024 $/MMBtu,,23.813116,23.569107,22.193554,21.863045,21.886852,22.04071,22.777748,23.344046,24.172819,24.34992,23.82902,23.301739,23.142015,23.010115,22.848555,23.114119,23.053041,23.229692,23.152102,23.081528,23.492218,23.824923,23.882811,23.720812,23.517139,23.388813,23.296017,-0.10%
Industrial,Electricity,High Oil and Gas Supply,Energy Prices: Industrial: Electricity: High Oil and Gas Supply,AEO.2025.HIGHOGS.PRCE_REAL_IDAL_NA_ELC_NA_WNC_Y13DLRPMMBTU.A,2024 $/MMBtu,,23.811296,23.528744,22.216616,21.748341,21.761181,21.836992,22.186575,22.637899,23.138601,23.308817,22.96509,22.726562,22.627281,22.623119,22.447897,22.452559,22.312878,22.544531,22.608791,22.786863,23.100428,23.119366,22.972563,22.851685,22.836765,22.90732,22.82365,-0.20%
Industrial,Electricity,Low Oil and Gas Supply,Energy Prices: Industrial: Electricity: Low Oil and Gas Supply,AEO.2025.LOWOGS.PRCE_REAL_IDAL_NA_ELC_NA_WNC_Y13DLRPMMBTU.A,2024 $/MMBtu,,23.812599,23.543287,22.394518,22.172733,22.202959,22.213968,23.160515,23.569618,23.762133,23.842272,23.601564,23.2104,23.125628,23.016348,22.942104,23.793903,24.064617,24.450989,24.787169,24.818493,25.102177,25.417725,25.757833,25.837418,25.70141,25.638405,25.614754,0.30%
Industrial,Electricity,High Zero-Carbon Technology Cost,Energy Prices: Industrial: Electricity: High Zero-Carbon Technology Cost,AEO.2025.HIGHZTC.PRCE_REAL_IDAL_NA_ELC_NA_WNC_Y13DLRPMMBTU.A,2024 $/MMBtu,,23.81426,23.57539,22.31587,21.962442,21.974964,22.119936,22.73941,23.369179,24.132959,24.462084,24.280066,23.988018,23.823059,23.583447,23.390228,23.64044,23.558266,23.526068,23.605265,23.684065,23.748804,23.894979,23.950098,24.087769,24.117092,24.07822,24.125736,0.00%
Industrial,Electricity,Low Zero-Carbon Technology Cost,Energy Prices: Industrial: Electricity: Low Zero-Carbon Technology Cost,AEO.2025.LOWZTC.PRCE_REAL_IDAL_NA_ELC_NA_WNC_Y13DLRPMMBTU.A,2024 $/MMBtu,,23.813269,23.566484,22.344151,21.966934,21.936871,22.009085,22.356762,22.930103,23.926779,24.235991,23.697294,23.168697,22.747053,22.368565,22.096504,22.415548,22.370632,22.296087,21.946518,21.810886,21.959749,22.384537,22.768795,23.081129,23.239889,23.197212,23.684484,0.00%
Industrial,Electricity,Alternative Electricity,Energy Prices: Industrial: Electricity: Alternative Electricity,AEO.2025.NOCAA111.PRCE_REAL_IDAL_NA_ELC_NA_WNC_Y13DLRPMMBTU.A,2024 $/MMBtu,,23.817589,23.638737,22.329834,21.963652,21.933979,22.047388,22.271143,22.617407,22.66848,22.738623,22.588106,22.501095,22.453392,22.294165,22.11936,22.090755,22.070223,21.981455,22.041759,22.100327,22.247473,22.343023,22.517141,22.687761,22.792841,22.7477,22.576399,-0.20%
Industrial,Electricity,Alternative Transportation,Energy Prices: Industrial: Electricity: Alternative Transportation,AEO.2025.ALTTRNP.PRCE_REAL_IDAL_NA_ELC_NA_WNC_Y13DLRPMMBTU.A,2024 $/MMBtu,,23.809357,23.627951,22.316523,21.947727,21.965061,22.152344,22.38829,22.938679,23.450438,23.833961,23.732491,23.214024,23.04117,22.963997,22.826534,22.99629,23.096884,23.328676,23.727655,23.858789,23.75161,24.379709,24.535778,24.415394,24.255732,24.030354,23.79225,0.00%
Industrial,Electricity,AEO2023 Reference case,Energy Prices: Industrial: Electricity: AEO2023 Reference case,AEO.2025.AEO2023REF.PRCE_REAL_IDAL_NA_ELC_NA_WNC_Y13DLRPMMBTU.A,2024 $/MMBtu,22.079782,21.381863,21.311201,20.770401,20.564671,20.724936,20.769814,20.700552,20.714575,20.635023,20.803854,20.659025,20.52957,20.381512,20.572701,20.605745,21.463367,22.071041,22.202139,22.036316,21.803219,21.620871,21.493816,21.320118,21.121788,20.923212,20.726839,20.542292,-0.10%
